measure_date,best_before,prd_number,weight,box_weight,ball_number,angel,campaign,taste,buyer,net_weight,mean_weight,silver,gold,buyer_idx
2017-12-10,2018-09-01,CA9,31.103,4.776,15,0,2,1,A,26.327,1.7551333333333334,0,0,0
2017-12-10,2018-09-01,CA9,31.476999999999997,4.7669999999999995,15,0,2,1,A,26.709999999999997,1.7806666666666664,0,0,0
2017-12-10,2018-09-01,CA9,31.615,4.777,15,0,2,1,A,26.837999999999997,1.7892,0,0,0
2017-12-10,2018-09-01,CA9,31.212,4.785,15,0,2,1,A,26.427,1.7618,0,0,0
2017-12-10,2018-09-01,CA9,31.394000000000002,4.819,15,0,2,1,A,26.575000000000003,1.771666666666667,0,0,0
2017−12−22,2018-07-01,DC5,30.186999999999998,5.914,15,1,0,4,B,24.272999999999996,1.6181999999999996,1,0,1
2017−12−22,2018-07-01,DC5,29.858,5.847,16,0,0,4,B,24.011,1.5006875,0,0,1
2017-12-28,2018-07-01,DC5,29.465999999999998,5.8839999999999995,15,1,0,4,A,23.581999999999997,1.5721333333333332,1,0,0
2017-12-28,2018-07-01,DC5,29.340999999999998,5.789,15,0,0,4,A,23.552,1.5701333333333334,0,0,0
2017-12-28,2018-07-01,DC5,30.68,5.7989999999999995,16,0,0,4,A,24.881,1.5550625,0,0,0
2017-12-28,2018-07-01,DC5,29.64,5.796,15,0,0,4,A,23.844,1.5896000000000001,0,0,0
2017-12-28,2018-07-01,DC5,29.569000000000003,5.875,15,0,0,4,A,23.694000000000003,1.5796000000000001,0,0,0
2018-01-03,2018-07-01,DC2,29.671999999999997,5.901,15,0,0,4,A,23.770999999999997,1.584733333333333,0,0,0
2018-01-03,2018-07-01,DC2,31.099,5.822,16,0,0,4,A,25.277,1.5798125,0,0,0
2018-01-27,2018-06-01,BA6,35.032,4.708,18,0,2,0,B,30.323999999999998,1.6846666666666665,0,0,1
2018-02-25,2018-11-01,DC0,28.811999999999998,5.625,16,0,0,6,A,23.186999999999998,1.4491874999999999,0,0,0
2018-02-25,2018-11-01,DC0,28.557,5.5920000000000005,15,0,0,6,A,22.964999999999996,1.5309999999999997,0,0,0
2018-02-25,2018-11-01,DC0,28.975,5.662999999999999,16,0,0,6,A,23.312,1.457,0,0,0
2018-02-25,2018-11-01,DC0,31.636,5.599,17,0,0,6,A,26.037,1.5315882352941177,0,0,0
2018-03-01,2018-10-01,AA2,33.961,4.743,15,0,0,0,C,29.217999999999996,1.9478666666666664,0,0,2
2018-03-01,2018-10-01,BA2,34.131,4.734,16,0,0,0,C,29.397,1.8373125,0,0,2
2018-03-04,2019-01-01,CA7,31.820999999999998,4.754,16,0,0,1,A,27.067,1.6916875,0,0,0
2018-03-04,2019-01-01,CA7,31.123,4.766,15,0,0,1,A,26.357,1.7571333333333332,0,0,0
2018-03-04,2019-01-01,CA7,31.138,4.773,15,0,0,1,A,26.365000000000002,1.7576666666666667,0,0,0
2018-03-04,2019-01-01,CA7,31.378,4.754,15,0,0,1,A,26.624000000000002,1.7749333333333335,0,0,0
2018-03-07,2018-10-01,BA7,34.059,4.747,14,0,0,0,B,29.311999999999998,2.0937142857142854,0,0,1
2018-03-07,2018-10-01,BA7,34.062,4.788,16,0,0,0,B,29.273999999999997,1.8296249999999998,0,0,1
2018-03-07,2018-10-01,AA7,34.298,4.771,16,0,0,0,B,29.527,1.8454375,0,0,1
2018-03-22,2018-10-01,BC8,34.223,4.827,15,0,0,0,C,29.396,1.9597333333333333,0,0,2
2018-03-22,2018-10-01,AC8,34.074,4.854,15,0,0,0,C,29.22,1.948,0,0,2
2018-03-29,2018-11-01,AA7,35.18,4.8389999999999995,16,0,0,0,C,30.341,1.8963125,0,0,2
2018-03-29,2018-11-01,AA7,34.260999999999996,4.851,17,0,0,0,C,29.409999999999997,1.7299999999999998,0,0,2
2018-03-29,2018-11-01,BA7,34.148,4.859,16,0,0,0,C,29.289,1.8305625,0,0,2
2018-04-01,2019-01-01,CC6,31.845,4.817,16,0,0,1,C,27.028,1.68925,0,0,2
2018-04-02,2018-11-01,AA9,34.26,4.843999999999999,17,0,0,0,A,29.415999999999997,1.7303529411764704,0,0,0
2018-04-02,2018-10-01,AC2,34.518,4.848,16,0,0,0,A,29.67,1.854375,0,0,0
2018-04-10,2018-11-01,AB4,34.179,4.913,16,0,0,0,A,29.266000000000002,1.8291250000000001,0,0,0
2018-04-10,2018-11-01,AB4,34.349000000000004,4.934,17,0,0,0,A,29.415000000000003,1.730294117647059,0,0,0
2018-04-10,2018-11-01,AB4,34.215,4.906000000000001,15,0,0,0,A,29.309000000000005,1.9539333333333337,0,0,0
2018-04-11,2018-10-01,AC0,34.525999999999996,4.789,16,0,0,0,C,29.736999999999995,1.8585624999999997,0,0,2
2018-04-11,2018-10-01,AC0,33.998000000000005,4.78,16,0,0,0,C,29.218000000000004,1.8261250000000002,0,0,2
2018-04-11,2018-10-01,AC0,33.889,4.748,16,0,0,0,C,29.141000000000002,1.8213125000000001,0,0,2
2018-04-12,2018-11-01,AA7,34.046,4.824,15,0,0,0,C,29.222,1.9481333333333335,0,0,2
2018-04-12,2018-11-01,AA7,31.529,4.7860000000000005,15,0,0,1,C,26.743,1.7828666666666666,0,0,2
2018-04-14,2018-11-01,BA7,34.376,4.817,16,0,0,0,C,29.558999999999997,1.8474374999999998,0,0,2
2018-04-14,2018-11-01,AC6,34.224000000000004,4.856,14,0,0,0,C,29.368000000000002,2.097714285714286,0,0,2
2018-04-14,2018-09-01,AC9,33.955,4.723,15,0,0,0,A,29.232,1.9487999999999999,0,0,0
2018-04-14,2018-09-01,AC9,35.214,4.757,16,0,0,0,A,30.457,1.9035625,0,0,0
