best_before,buyer,campaign,taste,weight,box_weight,ball_number,silver,gold
2018-09-01,A,2,1,31.103,4.776,15,0,0
2018-09-01,A,2,1,31.477,4.767,15,0,0
2018-09-01,A,2,1,31.615,4.777,15,0,0
2018-09-01,A,2,1,31.212,4.785,15,0,0
2018-09-01,A,2,1,31.394,4.819,15,0,0
2018-07-01,B,0,4,30.187,5.914,15,1,0
2018-07-01,B,0,4,29.858,5.847,16,0,0
2018-07-01,A,0,4,29.466,5.884,15,1,0
2018-07-01,A,0,4,29.341,5.789,15,0,0
2018-07-01,A,0,4,30.68,5.799,16,0,0
2018-07-01,A,0,4,29.64,5.796,15,0,0
2018-07-01,A,0,4,29.569000000000006,5.875,15,0,0
2018-07-01,A,0,4,29.672,5.901,15,0,0
2018-07-01,A,0,4,31.099,5.822,16,0,0
2018-06-01,B,2,0,35.032,4.708,18,0,0
2018-11-01,A,0,6,28.812,5.625,16,0,0
2018-11-01,A,0,6,28.557,5.5920000000000005,15,0,0
2018-11-01,A,0,6,28.975,5.6629999999999985,16,0,0
2018-11-01,A,0,6,31.636,5.599,17,0,0
2018-10-01,C,0,0,33.961,4.743,15,0,0
2018-10-01,C,0,0,34.131,4.734,16,0,0
2019-01-01,A,0,1,31.821,4.754,16,0,0
2019-01-01,A,0,1,31.123,4.766,15,0,0
2019-01-01,A,0,1,31.138,4.773,15,0,0
2019-01-01,A,0,1,31.378,4.754,15,0,0
2018-10-01,B,0,0,34.059,4.747,14,0,0
2018-10-01,B,0,0,34.062,4.788,16,0,0
2018-10-01,B,0,0,34.298,4.771,16,0,0
2018-10-01,C,0,0,34.223,4.827,15,0,0
2018-10-01,C,0,0,34.074,4.854,15,0,0
2018-11-01,C,0,0,35.18,4.839,16,0,0
2018-11-01,C,0,0,34.261,4.851,17,0,0
2018-11-01,C,0,0,34.148,4.859,16,0,0
2019-01-01,C,0,1,31.845,4.817,16,0,0
2018-11-01,A,0,0,34.26,4.8439999999999985,17,0,0
2018-10-01,A,0,0,34.518,4.848,16,0,0
2018-11-01,A,0,0,34.179,4.913,16,0,0
2018-11-01,A,0,0,34.349000000000004,4.934,17,0,0
2018-11-01,A,0,0,34.215,4.9060000000000015,15,0,0
2018-10-01,C,0,0,34.526,4.789,16,0,0
2018-10-01,C,0,0,33.998000000000005,4.78,16,0,0
2018-10-01,C,0,0,33.889,4.748,16,0,0
2018-11-01,C,0,0,34.046,4.824,15,0,0
2018-11-01,C,0,1,31.529,4.7860000000000005,15,0,0
